Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,fixation_cross.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,CTL2_TASK.stopped,CTL2_PAUSE.started,CTL2_PAUSE.stopped,task_end.started,task_end_text.started,task_end.stopped,TSST_instruction_start.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.009994583000661805,0.018465333007043228,28.596152582991635,,,,,,,,,,,,,,,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,28.596205165988067,28.61630037499708,30.13155758299399,,,,,,,,,,,,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,0,0,0,0,,,,,,,,,30.156300291011576,,,,,,,,30.133717666001758,30.13699595798971,30.137014707986964,30.13897020800505,,,,,,,,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,30.139003457996296,30.156300291011576,31.196651040983852,,,,,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,31.19669862498995,31.204735540988622,31.83861533299205,,,,,,,,,,,,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
1,1659,,,,,0,0,0,0,,,,,31.8556448330055,,,,,,,,,,,,,,,31.845786749996478,31.84830845799297,31.848324082995532,31.849275832995772,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.849305415991694,31.8556448330055,32.93018349999329,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,32.93022725000628,32.93798608300858,34.23905320800259,,,,,,,,,,,,,,,,,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.239097124984255,34.239181624987395,,,,,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
1,1039,,,,,,,,,0,0,0,0,34.2530595829885,,,,,,,,,,,,,,,,,,,,,,,,34.24416712499806,34.24556733301142,34.245581708004465,34.246534083009465,,,,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.2465644160111,34.2530595829885,35.456918665993726,297851,001,2025-11-27_19h48.21.357,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h48.27.439239 -0400,
