5.5184 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
5.7077 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [2160, 3840]. Using actual size
6.0319 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53430>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC533D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53220>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002AF4BD7BA60>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([2160, 3840]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.0320 	EXP 	window1: backgroundImage = ''
6.0321 	EXP 	window1: backgroundFit = 'none'
6.0324 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.0325 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.0354 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.0364 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.4831 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.4833 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.4843 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.4853 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002AF4BC53550>
6.5998 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
6.5998 	EXP 	window1: recordFrameIntervals = False
6.9437 	EXP 	window1: recordFrameIntervals = True
6.9882 	WARNING 	t of last frame was 33.29ms (=1/30)
7.0215 	WARNING 	t of last frame was 33.32ms (=1/30)
7.0550 	WARNING 	t of last frame was 33.45ms (=1/29)
7.0884 	WARNING 	t of last frame was 33.41ms (=1/29)
7.1216 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
7.2893 	EXP 	Screen (0) actual frame rate measured at 29.93Hz
7.2894 	EXP 	window1: recordFrameIntervals = False
7.2894 	EXP 	window1: mouseVisible = False
8.2626 	INFO 	keyboard.Keyboard is using ptb backend.
8.2627 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
8.2636 	EXP 	window1: mouseVisible = False
8.4135 	EXP 	Created ctl1_instruction_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='ctl1_instruction_text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
8.4136 	INFO 	keyboard.Keyboard is using ptb backend.
8.4136 	EXP 	window1: mouseVisible = False
8.5353 	EXP 	window1: mouseVisible = True
8.5396 	INFO 	saved data to c:\Users\neuro\GitHub\fNIRS_TSST_PsychoPy\builder_files\data/329009_TSST_fnirs_V4_CONTROL_2025-11-27_10h04.48.924.psydat
8.5403 	INFO 	saved data to 'c:\\Users\\neuro\\GitHub\\fNIRS_TSST_PsychoPy\\builder_files\\data/329009_TSST_fnirs_V4_CONTROL_2025-11-27_10h04.48.924.csv'
8.5738 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
8.6649 	WARNING 	Stopping key buffers but this could be dangerous ifother keyboards rely on the same.
