Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,fixation_cross.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,subtract_number.started,CTL2_TASK.stopped,CTL2_PAUSE.started,CTL2_PAUSE.stopped,task_end.started,task_end_text.started,task_end.stopped,TSST_instruction_start.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,subtract_number_TSST.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.013159124995581806,0.03262362498207949,1.5756712079746649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,1.57572887497372,1.5946529999782797,2.4510970409901347,,,,,,,,,,,,,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,0,0,0,0,,,,,,,,,2.4772109579935204,,,,,,,,2.454392582993023,2.4577670409926213,2.457787207997171,2.4596545409876853,,,,,,,,,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.459691790980287,2.4772109579935204,3.208037249976769,,,,,,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,3.208104082994396,3.2152223750017583,3.801797624997562,,,,,,,,,,,,,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
1,1659,,,,,0,0,0,0,,,,,3.817336832988076,,,,,,,,,,,,,,,3.80826216598507,3.817336832988076,5.807797916000709,5.807833790982841,5.809108499990543,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.809167040977627,5.815922457986744,11.433430665987544,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,11.433592040993972,11.439961083000526,13.188299749977887,,,,,,,,,,,,,,,,,,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.188334165984998,13.188426332984818,,,,,,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
1,1039,,,,,,,,,0,0,0,0,13.20527291597682,,,,,,,,,,,,,,,,,,,,,,,,,13.195015707984567,13.20527291597682,17.440890999976546,17.44092387499404,17.44212612498086,,,,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.442164082982345,17.448678999993717,19.484685832983814,663717,001,2025-11-27_19h43.40.532,TSST_fnirs_V4_FULL,2024.1.4,None,2025-11-27 19h43.55.113507 -0400,
