Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,task_end_next_text.started,task_end.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,CTL2_TASK.stopped,CTL2_PAUSE.started,CTL2_PAUSE.stopped,TSST_SPEECH_instructions.started,TSST_SPEECH_instructions_text.started,TSST_SPEECH_instructions.stopped,TSST_SPEECH.started,TSST_SPEECH_text.started,TSST_SPEECH.stopped,TSST_instruction_start.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,,,,,,,,,,,0.025371083000209183,0.037432749988511205,4.315407290996518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,4.315653582976665,4.318592582974816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,0,0,0,0,,,,,,,,,4.350517374987248,,,,,,,4.320550082979025,4.324671832990134,4.324696457973914,4.328052500000922,,,,,,,,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,4.32810737498221,4.350517374987248,4.350517374987248,7.353954249992967,,,,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.357583665987477,7.364224040997215,8.28909524998744,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,8.289279332995648,8.28958283297834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
1,1659,,,,,0,0,0,0,,,,,8.322863540990511,,,,,,,,,,,,,,,,,,8.30566824998823,8.30936129100155,8.309381082974141,8.311413999996148,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,8.311457582982257,8.322863540990511,8.322863540990511,11.032500332978088,,,,,,,,,,,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.032762916001957,11.040411915979348,13.165024999994785,,,,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.165233540988993,13.178017665981315,14.875045749999117,,,,,,,,,,095682,001,2026-02-09_10h47.35.372,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h49.13.714012 -0400,
