Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,task_end_next_text.started,task_end.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,fixation_cross.started,CTL2_TASK.started,CTL2_TASK.stopped,CTL2_PAUSE.started,CTL2_PAUSE.stopped,TSST_SPEECH_instructions.started,TSST_SPEECH_instructions_text.started,TSST_SPEECH_instructions.stopped,TSST_SPEECH.started,TSST_SPEECH_text.started,TSST_SPEECH.stopped,TSST_instruction_start.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,,,,,,,,,,,0.0193991249834653,0.03445841697975993,8.96343095798511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,8.963731208001263,8.966778582980623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,0,0,0,0,,,,,,,,,9.002470957988407,,,,,,,8.969490666990168,8.975653874978889,8.975678707996849,8.978695500001777,,,,,,,,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,8.978772874979768,9.002470957988407,9.002470957988407,11.594748999981675,,,,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.598540582985152,11.60513379200711,15.648245958000189,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,15.648426166997524,16.993218832998537,,,,,,,,,,,,15.659283791988855,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
1,1659,,,,,0,0,0,0,,,,,17.02833775000181,,,,,,,,,,,,,,,,,,,17.0109552500071,17.01469441698282,17.0147152080026,17.016617541987216,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,17.016664333001245,17.02833775000181,17.02833775000181,20.079288999986602,,,,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.079484624991892,20.087615958007518,28.665604416979477,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.665921957988758,28.67509862498264,30.14677879199735,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,30.14696008298779,30.159993416978978,30.159993416978978,32.07954583299579,,,,,,,,,,,,,,,,,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.07975479197921,32.08002787499572,,,,,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
1,1039,,,,,,,,,0,0,0,0,32.098222957982216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.087883375003,32.090077166998526,32.09009558300022,32.0912909169856,,,,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.09133379199193,32.098222957982216,34.97231791698141,409524,001,2026-02-09_10h50.00.997,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h50.17.000436 -0400,
