Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,task_end_next_text.started,task_end.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,fixation_cross.started,CTL2_TASK.started,CTL2_TASK.stopped,CTL2_PAUSE.started,CTL2_PAUSE.stopped,TSST_SPEECH_instructions.started,TSST_SPEECH_instructions_text.started,TSST_SPEECH_instructions.stopped,TSST_SPEECH.started,TSST_SPEECH_text.started,TSST_SPEECH.stopped,TSST_instruction_start.started,tsst_instruction_text.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,subtract_number_TSST.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,,,,,,,,,,,0.020633624983020127,0.033122166991233826,6.0228857079928275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,6.023134041985031,6.024077916983515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,0,0,0,0,,,,,,,,,6.072712416993454,,,,,,,6.026014791976195,6.029959999985294,6.029982124979142,6.032898582983762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,6.032951957982732,6.072712416993454,6.072712416993454,7.266185291984584,,,,,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.26918824997847,7.275299291999545,9.52120724998531,,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,9.52139112498844,11.371558457991341,,,,,,,,,,,,9.543721499998355,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
1,1659,,,,,0,0,0,0,,,,,11.401037582982099,,,,,,,,,,,,,,,,,,,11.383775499998592,11.387580791983055,11.387600707996171,11.389603082992835,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,11.38965170798474,11.401037582982099,11.401037582982099,12.770123707974562,,,,,,,,,,,,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.770317874994362,12.780702291987836,15.08795404198463,,,,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.08814079198055,15.097066749993246,16.75092379198759,,,,,,,,,,,,470123,001,2026-02-09_11h06.07.550,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 11h06.26.670704 -0400,
