Block,StartingNumber,CTL1_Loop.thisRepN,CTL1_Loop.thisTrialN,CTL1_Loop.thisN,CTL1_Loop.thisIndex,CTL2_Loop.thisRepN,CTL2_Loop.thisTrialN,CTL2_Loop.thisN,CTL2_Loop.thisIndex,TSST_Arith_Loop.thisRepN,TSST_Arith_Loop.thisTrialN,TSST_Arith_Loop.thisN,TSST_Arith_Loop.thisIndex,thisRow.t,notes,CTL1_instruction_start.started,ctl1_instruction_text.started,CTL1_instruction_start.stopped,FIXATION.started,FIXATION.stopped,CTL1_TASK.started,CTL1_TASK.stopped,CTL1_PAUSE.started,CTL1_PAUSE.stopped,task_end.started,task_end_text.started,task_end.stopped,CTL2_instruction_start.started,ctl2_instruction_text.started,CTL2_instruction_start.stopped,CTL2_TASK.started,CTL2_TASK.stopped,CTL2_PAUSE.started,CTL2_PAUSE.stopped,TSST_SPEECH_instructions.started,TSST_SPEECH_instructions_text.started,TSST_SPEECH_instructions.stopped,TSST_SPEECH.started,TSST_SPEECH_text.started,TSST_SPEECH.stopped,TSST_instruction_start.started,TSST_instruction_start.stopped,TSST_ARITH_TASK.started,TSST_ARITH_TASK.stopped,TSST_ARITH_PAUSE.started,TSST_ARITH_PAUSE.stopped,Finished.started,finished_text.started,Finished.stopped,participant,session,date,expName,psychopyVersion,Fullscreen,Screen No.,Audio Device,frameRate,expStart,
,,,,,,,,,,,,,,,,0.051798291999148205,0.0674318750097882,3.4276907090097666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,3.4278954170004,3.429914667009143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,0,0,0,0,,,,,,,,,3.4789761249849107,,,,,,,3.432541874994058,3.43678612500662,3.4368095840036403,3.439709500002209,,,,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,3.439784124988364,3.4789761249849107,5.333147583995014,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.333512749988586,5.340639166999608,6.260223084012978,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,6.26040104200365,6.260644875001162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
1,1659,,,,,0,0,0,0,,,,,6.283989334013313,,,,,,,,,,,,,,,,,6.273318374995142,6.276271792012267,6.276290000008885,6.277394875010941,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,6.2774387919926085,6.283989334013313,7.189764584007207,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1899700420035515,7.197315458994126,8.32375041701016,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.323944625008153,8.337335458985763,9.945906874985667,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,9.946104208996985,9.96191287500551,12.838910458987812,,,,,,,,,,,,,,,,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.839125792001141,12.839412625005934,,,,,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
1,1039,,,,,,,,,0,0,0,0,12.859906541998498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.84661216699169,12.851170167006785,12.851188250002451,12.852403208991745,,,,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85244791698642,12.859906541998498,14.494134834007127,621559,001,2026-02-09_10h20.41.138,TSST_fnirs_V6_FULL,2024.1.4,Windowed,3,MacBook Pro Speakers,None,2026-02-09 10h23.12.383151 -0400,
