13.1253 	INFO 	Loaded monitor calibration from ['2024_08_14 14:13']
13.2954 	WARNING 	User requested fullscreen with size [1440  900], but screen is actually [1920, 1080]. Using actual size
13.5688 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B3A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B340>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([-1., -1., -1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B190>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000027B5C3979D0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=2, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.5689 	EXP 	window1: backgroundImage = ''
13.5689 	EXP 	window1: backgroundFit = 'none'
13.5691 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.5692 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.5720 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.5729 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.6582 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.6584 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.6593 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.6601 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x0000027B5C26B4C0>
13.6787 	EXP 	window1: Attempting to measure frame rate of screen (2) ...
13.6787 	EXP 	window1: recordFrameIntervals = False
13.7472 	EXP 	window1: recordFrameIntervals = True
13.8235 	EXP 	Screen (2) actual frame rate measured at 144.07Hz
13.8235 	EXP 	window1: recordFrameIntervals = False
13.8236 	EXP 	window1: mouseVisible = False
14.7878 	INFO 	keyboard.Keyboard is using ptb backend.
14.8451 	EXP 	TSST_fnirs_V4_CONTROL: status = STARTED
14.8455 	EXP 	window1: mouseVisible = False
